playername,mean_kills,std_kills,mean_deaths,std_deaths,mean_damage,std_damage
Kanra,0.5,0.7071067811865476,8.5,2.1213203435596424,3951.5,686.6006845321376
Kaori,5.333333333333333,2.742956347412318,2.533333333333333,2.2318047362958033,21914.8,6755.1282551005015
Kaplica,1.7,1.3374935098492586,3.9,1.523883926754995,17412.8,7624.136378050377
Kappa1,4.277777777777778,3.139980433726141,3.4444444444444446,1.7895849739771976,22819.277777777777,8292.466061967869
Karaage,5.708333333333333,3.406887737799855,3.625,1.995919750935371,29787.541666666668,11334.422871248247
Karakal Jr,0.4,0.5477225575051661,3.8,3.420526275297414,6482.4,2416.981650737134
Karis,3.5,2.572429066922511,3.0086206896551726,1.716901605927894,20257.077586206895,7591.8100278046895
Kars,0.5,0.7071067811865476,5.5,0.7071067811865476,13411.5,6793.174846859162
Karsa,2.3943661971830985,2.059673158811068,2.9859154929577465,2.2455858780313176,12019.478873239437,4870.09246570815
Kartso,1.75,1.2583057392117916,4.5,1.9148542155126762,6074.0,745.5695809245439
Kaseko,0.8157894736842105,1.0359814033052475,4.842105263157895,2.871352593874519,7460.9473684210525,2707.552739097225
Kasing,0.8043478260869565,1.1278212076071732,4.086956521739131,1.9186347803294548,7548.369565217391,3510.1462417062125
KatEvolved,5.0476190476190474,3.667099541547658,2.9523809523809526,2.132514723892674,27961.904761904763,11969.545354376505
Kati,3.380952380952381,2.6483626799954396,2.1904761904761907,1.8739052103367422,23453.88888888889,9797.198026215176
Katquese,4.0,4.242640687119285,8.0,0.0,18552.5,8996.519577036444
KatzGames,3.3658536585365852,2.7180516694957775,3.8780487804878048,2.0999419271877438,20576.19512195122,8808.678494018022
